 written on 26Oct2020 at 15:32:52 
  -1.61399000000000       0.000000000000000E+000   1.61399000000000     
  0.000000000000000E+000   1.61399000000000        1.61399000000000     
  -1.61399000000000        1.61399000000000       0.000000000000000E+000
           4
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    2    3    0.15396610E-02 -0.13565594E-09
    3    3    0.15321720E-01 -0.62453098E-11
    4    3    0.15396609E-02  0.60248444E-09
    1    4    0.32232673E-01 -0.33038121E-08
    2    4   -0.38176759E-01  0.49980858E-09
    3    4    0.32232675E-01 -0.22792308E-08
    4    4    0.15321719E-01  0.43035356E-09

   -1    1    0
    1    1   -0.24443525E+00 -0.10498002E-09
    2    1    0.32232674E-01 -0.22910396E-08
    3    1   -0.61523840E+00  0.10981207E-08
    4    1    0.10031797E+00  0.11363373E-08
    1    2    0.32232675E-01 -0.22498362E-08
    2    2   -0.24443525E+00  0.51526400E-09
    3    2   -0.61523840E+00  0.21240792E-08
    4    2    0.10031798E+00 -0.13879026E-08
    1    3    0.10031798E+00 -0.49641448E-09
    2    3    0.10031798E+00 -0.16496007E-09
    3    3    0.90072608E+00  0.13593142E-10
    4    3   -0.25466097E+00 -0.21486539E-08
    1    4   -0.61523841E+00 -0.19523991E-08
    2    4   -0.61523841E+00  0.38999242E-08
    3    4   -0.20896483E+01 -0.24415146E-08
    4    4    0.90072608E+00 -0.42388365E-09

   -1    1    1
    1    1    0.15321720E-01 -0.10170686E-08
    2    1    0.32232674E-01  0.11258366E-08
    3    1    0.32232674E-01  0.92880344E-09
    4    1   -0.38176756E-01  0.70457012E-09
    1    2    0.15396628E-02 -0.13170648E-08
    2    2    0.15321719E-01  0.14954896E-09
    3    2   -0.38176758E-01 -0.24341949E-09
    4    2    0.15396612E-02  0.67403165E-09
    1    3    0.15396645E-02 -0.10641941E-08
    2    3   -0.38176759E-01 -0.77247930E-11
    3    3    0.15321719E-01  0.34612241E-09
    4    3    0.15396618E-02 -0.11779765E-08
    1    4   -0.38176758E-01 -0.19080333E-08
    2    4    0.32232675E-01  0.15526502E-08
    3    4    0.32232676E-01 -0.81657445E-09
    4    4    0.15321719E-01  0.52137158E-09

   -1    1    2
    1    1    0.15749601E-01 -0.39096134E-09
    2    1    0.15396611E-02  0.14130007E-08
    3    1   -0.19883011E-02  0.14597525E-08
    4    1   -0.79546418E-02  0.47662514E-09
    1    2    0.15396632E-02 -0.59713552E-09
    2    2    0.15749602E-01 -0.13761890E-09
    3    2   -0.19882992E-02 -0.11395472E-08
    4    2   -0.79546423E-02  0.80525883E-09
    1    3   -0.79546413E-02  0.13613638E-08
    2    3   -0.79546425E-02  0.12083697E-09
    3    3    0.12409574E-01 -0.20923207E-09
    4    3   -0.35022553E-02 -0.21865165E-09
    1    4   -0.19882995E-02 -0.86475536E-09
    2    4   -0.19883004E-02  0.12401075E-08
    3    4   -0.40231922E-02  0.55679111E-11
    4    4    0.12409574E-01  0.73780331E-09

   -1    2   -2
    1    1    0.12409574E-01 -0.14400960E-09
    2    1   -0.79546413E-02  0.72491066E-09
    3    1   -0.79546427E-02 -0.11001158E-08
