 written on 24Nov2020 at 11:41:47 
  -1.61399000000000       0.000000000000000E+000   1.61399000000000     
  0.000000000000000E+000   1.61399000000000        1.61399000000000     
  -1.61399000000000        1.61399000000000       0.000000000000000E+000
           4
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    1    2   -0.79546417E-02  0.35534208E-09
    2    2    0.12409574E-01  0.39899954E-09
    3    2   -0.79546401E-02 -0.22164267E-10
    4    2   -0.35022553E-02  0.28488712E-10
    1    3    0.15396646E-02  0.12888099E-08
    2    3   -0.19883002E-02 -0.62489580E-09
    3    3    0.15749602E-01 -0.26874103E-09
    4    3   -0.79546415E-02  0.17080182E-09
    1    4   -0.19882995E-02 -0.13691867E-08
    2    4   -0.40231880E-02 -0.11847601E-09
    3    4   -0.19883020E-02  0.18640199E-08
    4    4    0.12409574E-01  0.41408215E-09

   -1   -2    2
    1    1    0.12409574E-01 -0.14423654E-09
    2    1   -0.79546405E-02  0.72376352E-09
    3    1   -0.79546419E-02 -0.10967010E-08
    4    1   -0.35022557E-02 -0.61466095E-09
    1    2   -0.19883026E-02  0.16719433E-08
    2    2    0.15749601E-01 -0.29534200E-09
    3    2    0.15396630E-02 -0.23909644E-09
    4    2   -0.79546412E-02  0.72136352E-09
    1    3   -0.19883008E-02  0.77633921E-09
    2    3    0.15396627E-02 -0.56690677E-09
    3    3    0.15749602E-01 -0.37822301E-10
    4    3   -0.79546423E-02  0.48214548E-09
    1    4   -0.40231869E-02 -0.67899032E-09
    2    4   -0.19883025E-02 -0.14819255E-08
    3    4   -0.19882994E-02 -0.15090652E-09
    4    4    0.12409575E-01  0.47741985E-09

   -1   -1   -1
    1    1    0.73784761E-02  0.49930503E-09
    2    1   -0.85402740E-02  0.33799560E-09
    3    1   -0.85402719E-02  0.53171344E-09
    4    1   -0.85402705E-02  0.63090153E-09
    1    2   -0.85402700E-02 -0.12709103E-08
    2    2    0.73784758E-02 -0.18088062E-09
    3    2   -0.85402747E-02 -0.71596618E-10
    4    2   -0.85402733E-02  0.79167725E-09
    1    3   -0.85402721E-02 -0.93766330E-09
    2    3   -0.85402712E-02 -0.31270500E-09
    3    3    0.73784754E-02  0.38338938E-09
    4    3   -0.85402742E-02 -0.10222959E-09
    1    4   -0.85402732E-02 -0.12262535E-08
    2    4   -0.85402712E-02  0.92166724E-09
    3    4   -0.85402705E-02  0.46481606E-09
    4    4    0.73784759E-02 -0.70178197E-09

   -1   -1    0
    1    1   -0.88755095E-04 -0.16847919E-09
    2    1   -0.85402763E-02 -0.18792017E-09
    3    1    0.13490015E-01  0.99368438E-09
    4    1    0.13490019E-01  0.10444176E-08
    1    2   -0.38176758E-01  0.89396390E-09
    2    2    0.31513777E-02  0.50412661E-09
    3    2   -0.19883018E-02  0.44864272E-09
    4    2   -0.19883009E-02 -0.96323520E-09
    1    3    0.10031798E+00  0.44544616E-09
    2    3    0.30209098E-01 -0.10734559E-08
    3    3   -0.12934222E-01 -0.57063610E-09
    4    3   -0.21538153E-01  0.17868315E-08
    1    4    0.10031797E+00 -0.15797475E-08
    2    4    0.30209095E-01  0.19273483E-08
    3    4   -0.21538149E-01  0.10928745E-08
    4    4   -0.12934222E-01  0.23499470E-09

   -1   -1    1
    1    1    0.15321719E-01 -0.74356518E-09
    2    1   -0.38176758E-01  0.52498471E-09
    3    1    0.15396611E-02  0.95303508E-10
    4    1    0.15396623E-02  0.10346241E-09
    1    2   -0.38176760E-01  0.18250228E-08
    2    2    0.15321719E-01  0.47763293E-10
    3    2    0.15396620E-02  0.12001455E-09
    4    2    0.15396638E-02 -0.58012078E-09
    1    3    0.32232677E-01  0.98242320E-09
    2    3    0.32232677E-01 -0.10570314E-08
    3    3    0.15321720E-01  0.42032672E-09
    4    3   -0.38176759E-01  0.15071954E-08
    1    4    0.32232678E-01 -0.24386205E-08
    2    4    0.32232674E-01 -0.29482554E-08
    3    4   -0.38176757E-01  0.13123004E-08
    4    4    0.15321719E-01  0.27542238E-09

   -1   -1    2
    1    1    0.31513778E-02 -0.26714063E-09
    2    1   -0.38176756E-01  0.10152680E-08
    3    1   -0.19883003E-02  0.10264751E-09
    4    1   -0.19883008E-02 -0.70393077E-09
    1    2   -0.85402711E-02 -0.26885692E-08
    2    2   -0.88754677E-04  0.75870293E-09
    3    2    0.13490016E-01 -0.99131508E-09
    4    2    0.13490017E-01  0.14466620E-08
    1    3    0.30209097E-01 -0.36547534E-09
    2    3    0.10031798E+00 -0.53358547E-09
    3    3   -0.12934223E-01  0.19261018E-09
    4    3   -0.21538152E-01  0.63102383E-09
    1    4    0.30209093E-01 -0.58107049E-09
    2    4    0.10031797E+00 -0.14710933E-09
    3    4   -0.21538149E-01 -0.14265701E-09
    4    4   -0.12934222E-01 -0.68415968E-09

   -1   -1    3
    1    1    0.73784761E-02  0.49930504E-09
    2    1   -0.85402740E-02  0.33799559E-09
    3    1   -0.85402719E-02  0.53171344E-09
    4    1   -0.85402705E-02  0.63090155E-09
    1    2   -0.85402700E-02 -0.12709102E-08
    2    2    0.73784758E-02 -0.18088067E-09
    3    2   -0.85402747E-02 -0.71596604E-10
    4    2   -0.85402733E-02  0.79167721E-09
    1    3   -0.85402721E-02 -0.93766329E-09
    2    3   -0.85402712E-02 -0.31270506E-09
    3    3    0.73784754E-02  0.38338940E-09
    4    3   -0.85402742E-02 -0.10222957E-09
    1    4   -0.85402732E-02 -0.12262535E-08
    2    4   -0.85402712E-02  0.92166721E-09
    3    4   -0.85402705E-02  0.46481609E-09
    4    4    0.73784759E-02 -0.70178199E-09

   -1    0   -1
    1    1   -0.88754369E-04  0.12330500E-08
    2    1    0.13490015E-01 -0.91065185E-09
    3    1   -0.85402740E-02  0.35241651E-09
    4    1    0.13490019E-01  0.78156354E-09
    1    2    0.10031798E+00  0.10719949E-09
    2    2   -0.12934223E-01 -0.39693139E-09
    3    2    0.30209093E-01 -0.28448492E-09
    4    2   -0.21538151E-01  0.99364019E-09
    1    3   -0.38176759E-01  0.20344753E-09
    2    3   -0.19883010E-02  0.11397109E-08
    3    3    0.31513779E-02 -0.75520813E-09
    4    3   -0.19883014E-02  0.11579876E-09
    1    4    0.10031797E+00 -0.25285379E-09
    2    4   -0.21538150E-01  0.21032980E-09
    3    4    0.30209097E-01  0.26993662E-09
    4    4   -0.12934223E-01 -0.80903375E-10

   -1    0    0
    1    1    0.90072607E+00 -0.15811713E-10
    2    1    0.10031797E+00 -0.25396437E-08
    3    1    0.10031797E+00 -0.13828879E-08
    4    1   -0.25466097E+00 -0.57601919E-09
    1    2   -0.61523841E+00  0.35362186E-08
    2    2   -0.24443525E+00 -0.16297076E-08
    3    2    0.32232677E-01  0.13291839E-08
    4    2    0.10031798E+00 -0.14121412E-08
    1    3   -0.61523841E+00 -0.51160893E-09
    2    3    0.32232678E-01 -0.12215098E-08
    3    3   -0.24443524E+00  0.56268107E-09
    4    3    0.10031797E+00  0.17993320E-08
    1    4   -0.20896483E+01 -0.36432658E-08
    2    4   -0.61523840E+00  0.21121101E-08
    3    4   -0.61523840E+00  0.16874242E-08
    4    4    0.90072607E+00  0.10828579E-08

   -1    0    1
    1    1   -0.24443525E+00  0.42108788E-09
    2    1   -0.61523840E+00  0.21214417E-09
    3    1    0.32232676E-01 -0.12522494E-08
    4    1    0.10031797E+00  0.47560726E-10
    1    2    0.10031798E+00 -0.63715336E-09
    2    2    0.90072607E+00 -0.40959666E-09
    3    2    0.10031797E+00  0.90720532E-09
    4    2   -0.25466097E+00 -0.18273382E-08
    1    3    0.32232677E-01 -0.15332363E-08
    2    3   -0.61523841E+00  0.33552766E-08
    3    3   -0.24443525E+00  0.97553574E-09
    4    3    0.10031798E+00 -0.57627709E-09
    1    4   -0.61523841E+00 -0.15774083E-08
    2    4   -0.20896483E+01 -0.35696991E-08
    3    4   -0.61523840E+00 -0.97922269E-09
    4    4    0.90072608E+00 -0.98703335E-09

   -1    0    2
    1    1   -0.12934222E-01  0.74097736E-09
    2    1    0.10031797E+00  0.12657102E-08
    3    1    0.30209095E-01 -0.73884675E-09
    4    1   -0.21538150E-01  0.19312330E-08
    1    2    0.13490019E-01 -0.11682548E-08
    2    2   -0.88755858E-04 -0.77510720E-10
    3    2   -0.85402745E-02 -0.16308531E-09
    4    2    0.13490016E-01  0.21577101E-08
    1    3   -0.19883000E-02 -0.14103519E-08
    2    3   -0.38176759E-01  0.13284307E-08
    3    3    0.31513786E-02  0.20521146E-09
    4    3   -0.19883013E-02 -0.14966653E-08
    1    4   -0.21538151E-01 -0.44797745E-09
    2    4    0.10031798E+00  0.76351243E-09
    3    4    0.30209098E-01 -0.62747565E-09
    4    4   -0.12934222E-01 -0.86870713E-09

   -1    1   -2
    1    1    0.15749601E-01 -0.38991902E-09
    2    1    0.15396615E-02  0.14141114E-08
    3    1   -0.19883020E-02  0.14601848E-08
    4    1   -0.79546410E-02  0.47977424E-09
    1    2    0.15396635E-02 -0.59776970E-09
    2    2    0.15749602E-01 -0.13861852E-09
    3    2   -0.19883001E-02 -0.11379401E-08
    4    2   -0.79546415E-02  0.80287570E-09
    1    3   -0.79546405E-02  0.13634127E-08
    2    3   -0.79546417E-02  0.11911028E-09
    3    3    0.12409575E-01 -0.20848415E-09
    4    3   -0.35022560E-02 -0.21324639E-09
    1    4   -0.19883004E-02 -0.86630014E-09
    2    4   -0.19883014E-02  0.12403312E-08
    3    4   -0.40231871E-02  0.54852126E-11
    4    4    0.12409574E-01  0.73699812E-09

   -1    1   -1
    1    1    0.15321719E-01  0.63720261E-09
    2    1    0.15396627E-02  0.58844621E-09
    3    1   -0.38176760E-01  0.76600172E-09
    4    1    0.15396634E-02 -0.14870367E-09
    1    2    0.32232675E-01  0.19193592E-08
    2    2    0.15321719E-01 -0.10609995E-08
    3    2    0.32232677E-01 -0.22762081E-09
    4    2   -0.38176759E-01  0.72780990E-09
    1    3   -0.38176757E-01  0.85030469E-09
    2    3    0.15396614E-02 -0.13640933E-09
    3    3    0.15321720E-01 -0.61840810E-11
    4    3    0.15396613E-02  0.60242654E-09
    1    4    0.32232676E-01 -0.33054494E-08
    2    4   -0.38176759E-01  0.49989836E-09
    3    4    0.32232678E-01 -0.22797990E-08
    4    4    0.15321719E-01  0.43002277E-09

   -1    1    0
    1    1   -0.24443525E+00 -0.10584446E-09
    2    1    0.32232677E-01 -0.22903659E-08
    3    1   -0.61523840E+00  0.10986247E-08
    4    1    0.10031797E+00  0.11370508E-08
    1    2    0.32232677E-01 -0.22511227E-08
    2    2   -0.24443525E+00  0.51743232E-09
    3    2   -0.61523840E+00  0.21271528E-08
    4    2    0.10031798E+00 -0.13879878E-08
    1    3    0.10031798E+00 -0.49682349E-09
    2    3    0.10031797E+00 -0.16519202E-09
    3    3    0.90072607E+00  0.13294506E-10
    4    3   -0.25466097E+00 -0.21484812E-08
    1    4   -0.61523841E+00 -0.19541403E-08
    2    4   -0.61523841E+00  0.39027821E-08
    3    4   -0.20896483E+01 -0.24447676E-08
    4    4    0.90072607E+00 -0.42490456E-09

   -1    1    1
    1    1    0.15321720E-01 -0.10176318E-08
    2    1    0.32232676E-01  0.11268409E-08
    3    1    0.32232676E-01  0.92931120E-09
    4    1   -0.38176757E-01  0.70500183E-09
    1    2    0.15396631E-02 -0.13178359E-08
    2    2    0.15321719E-01  0.15000343E-09
    3    2   -0.38176758E-01 -0.24330492E-09
    4    2    0.15396616E-02  0.67504334E-09
